url,origin,name,lang,hasParts,materia,image
http://www.wikidata.org/entity/Q590076,Canada,Pizza Hawaii,de,"{'Prosciutto, Tomatensauce, Ananas'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,ナナイモバー,ja,"{'堅果, カスタード, ココナッツ, ガナッシュ'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,pl,"{'frytki, Jus'}",{''},
http://www.wikidata.org/entity/Q7648934,Canada,پیتزا سوشی,fa,"{'سوشی, برنج, پیتزا'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Гавайская пицца,ru,"{'Прошутто, томатный соус, ананас'}",{''},
http://www.wikidata.org/entity/Q7142950,Canada,باستا الربيع,ar,{'معكرونة'},{''},
http://www.wikidata.org/entity/Q5056486,Canada,煙肉三明治,zh,"{'煙肉三明治, 芥菜醬, 裸麥麵包'}",{''},
http://www.wikidata.org/entity/Q16917893,Canada,پوچین او ساک,fa,"{'پیه, شیر, کشمش, آرد گندم'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,פיצה בנוסח הוואי,he,"{'פרושוטו, רוטב עגבניות, אננס'}",{''},
http://www.wikidata.org/entity/Q247969,Canada,Kanada-Indiana glaciaĵo,eo,{'Shepherdia canadensis'},{''},
http://www.wikidata.org/entity/Q2885517,Canada,Barre Nanaimo,fr,"{'fruit à coque, costarde, oublie, noix de coco, ganache'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,پوتین (غذا),fa,"{'سیبزمینی سرخکرده, سس گریوی, دلمه پنیر'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,id,"{'Kentang goreng, Dadih keju'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,eu,"{'Patata frijitu, haragi saltsa, gazta-pikorrak'}",{''},
http://www.wikidata.org/entity/Q5056486,Canada,モントリオール式スモークミート,ja,"{'マスタード, ライ麦パン, 燻製肉'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,芝士澆肉汁薯條,yue,"{'薯條, 肉汁'}",{''},
http://www.wikidata.org/entity/Q5447713,Canada,フィギーダフ,ja,{'穀粉'},{''},
http://www.wikidata.org/entity/Q590076,Canada,kinkku-ananaspizza,fi,"{'Prosciutto, tomaattikastike, ananas'}",{''},
http://www.wikidata.org/entity/Q7238917,Canada,Sop urang,jv,{'Urang-urangan'},{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza havaj,cs,"{'Pršut, rajská omáčka, ananas'}",{''},
http://www.wikidata.org/entity/Q7648934,Canada,suŝipico,eo,"{'pico, suŝio'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,Rocky Mountain oysters,it,{'granelli'},{''},
http://www.wikidata.org/entity/Q4118252,Canada,Pizza-ghetti,it,"{'pizza, spaghetti'}",{''},
http://www.wikidata.org/entity/Q4118252,Canada,بيتزا غيتي,ar,"{'بيتزا, سباغيتي'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza Hawaii,id,"{'Prosciutto, Keju pizza, saus tomat (klasik)'}",{''},
http://www.wikidata.org/entity/Q247969,Canada,Indian ice cream,en,{'Shepherdia canadensis'},{''},
http://www.wikidata.org/entity/Q7205199,Canada,プロイ,ja,{'ソバの実'},{''},
http://www.wikidata.org/entity/Q590076,Canada,Pizza hawajska,pl,"{'Pršut, Sos pomidorowy, ananas'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,hawaii pizza,da,"{'Prosciutto, tomatsauce, ananas'}",{''},
http://www.wikidata.org/entity/Q7142950,Canada,パスタ・プリマヴェーラ,ja,{'パスタ'},{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,lb,{'Fritten'},{''},
http://www.wikidata.org/entity/Q3400757,Canada,Poutine râpée,nl,{'aardappel'},{''},
